Variable,meaning ,d_X_1 (Variation relative to Core 0 state),asolute d_X_1
X_0,frequency level of Little Socket,-1302248688.5165067,1302248688.5165067
X_1,Core 0 state,1162332230.2607567,1162332230.2607567
X_2,Core 1 state,51955658.160334505,51955658.160334505
X_3,Core 2 state,-33662317.383705415,33662317.383705415
X_4,Core 3 state,-610105136.3702084,610105136.3702084
X_5,Core 4 state,-1195468936.8333564,1195468936.8333564
X_6,Core 5 state,205252249.7006661,205252249.7006661
X_7,Medium Socket or core 6 frequency,64579666.38142292,64579666.38142292
X_8,Big Socket or core 7 frequency,790048786.6840804,790048786.6840804


 Ordered by value of coefficient, the first has the best positive interaction, with Core 0 state 
 Variable,meaning ,d_X_1 (Variation relative to Core 0 state),asolute d_X_1
X_1,Core 0 state,1162332230.2607567,1162332230.2607567
X_8,Big Socket or core 7 frequency,790048786.6840804,790048786.6840804
X_6,Core 5 state,205252249.7006661,205252249.7006661
X_7,Medium Socket or core 6 frequency,64579666.38142292,64579666.38142292
X_2,Core 1 state,51955658.160334505,51955658.160334505
X_3,Core 2 state,-33662317.383705415,33662317.383705415
X_4,Core 3 state,-610105136.3702084,610105136.3702084
X_5,Core 4 state,-1195468936.8333564,1195468936.8333564
X_0,frequency level of Little Socket,-1302248688.5165067,1302248688.5165067


 Ordered by absolute value of coefficients,  the first has the best absolute interaction, with Core 0 state  
 Variable,meaning ,d_X_1 (Variation relative to Core 0 state),asolute d_X_1
X_0,frequency level of Little Socket,-1302248688.5165067,1302248688.5165067
X_5,Core 4 state,-1195468936.8333564,1195468936.8333564
X_1,Core 0 state,1162332230.2607567,1162332230.2607567
X_8,Big Socket or core 7 frequency,790048786.6840804,790048786.6840804
X_4,Core 3 state,-610105136.3702084,610105136.3702084
X_6,Core 5 state,205252249.7006661,205252249.7006661
X_7,Medium Socket or core 6 frequency,64579666.38142292,64579666.38142292
X_2,Core 1 state,51955658.160334505,51955658.160334505
X_3,Core 2 state,-33662317.383705415,33662317.383705415
