X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,247759097.2093919,892735213.3077258,644976116.0983338
X_1,Core 0 state,-658144683.3498574,2791580786.4727564,3449725469.8226137
X_2,Core 1 state,-90652027.22433916,2443397758.3399205,2534049785.5642595
X_3,Core 2 state,-43956891.53552361,2119011679.3593771,2162968570.894901
X_4,Core 3 state,65251111.76502738,1204212006.673268,1138960894.9082408
X_5,Core 4 state,-393753138.1512383,475496608.48126996,869249746.6325083
X_6,Core 5 state,-1563081660.921212,2563071659.59,4126153320.5112123
X_7,Medium Socket or core 6 frequency,410820978.98017323,1844174557.159548,1433353578.1793747
X_8,Big Socket or core 7 frequency,569435292.9744079,761359433.2050244,191924140.23061645


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,569435292.9744079,761359433.2050244,191924140.23061645
X_7,Medium Socket or core 6 frequency,410820978.98017323,1844174557.159548,1433353578.1793747
X_0,frequency level of Little Socket,247759097.2093919,892735213.3077258,644976116.0983338
X_4,Core 3 state,65251111.76502738,1204212006.673268,1138960894.9082408
X_3,Core 2 state,-43956891.53552361,2119011679.3593771,2162968570.894901
X_2,Core 1 state,-90652027.22433916,2443397758.3399205,2534049785.5642595
X_5,Core 4 state,-393753138.1512383,475496608.48126996,869249746.6325083
X_1,Core 0 state,-658144683.3498574,2791580786.4727564,3449725469.8226137
X_6,Core 5 state,-1563081660.921212,2563071659.59,4126153320.5112123


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_1,Core 0 state,-658144683.3498574,2791580786.4727564,3449725469.8226137
X_6,Core 5 state,-1563081660.921212,2563071659.59,4126153320.5112123
X_2,Core 1 state,-90652027.22433916,2443397758.3399205,2534049785.5642595
X_3,Core 2 state,-43956891.53552361,2119011679.3593771,2162968570.894901
X_7,Medium Socket or core 6 frequency,410820978.98017323,1844174557.159548,1433353578.1793747
X_4,Core 3 state,65251111.76502738,1204212006.673268,1138960894.9082408
X_0,frequency level of Little Socket,247759097.2093919,892735213.3077258,644976116.0983338
X_8,Big Socket or core 7 frequency,569435292.9744079,761359433.2050244,191924140.23061645
X_5,Core 4 state,-393753138.1512383,475496608.48126996,869249746.6325083


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-1563081660.921212,2563071659.59,4126153320.5112123
X_1,Core 0 state,-658144683.3498574,2791580786.4727564,3449725469.8226137
X_2,Core 1 state,-90652027.22433916,2443397758.3399205,2534049785.5642595
X_3,Core 2 state,-43956891.53552361,2119011679.3593771,2162968570.894901
X_7,Medium Socket or core 6 frequency,410820978.98017323,1844174557.159548,1433353578.1793747
X_4,Core 3 state,65251111.76502738,1204212006.673268,1138960894.9082408
X_5,Core 4 state,-393753138.1512383,475496608.48126996,869249746.6325083
X_0,frequency level of Little Socket,247759097.2093919,892735213.3077258,644976116.0983338
X_8,Big Socket or core 7 frequency,569435292.9744079,761359433.2050244,191924140.23061645
