X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,1252614171.903784,1158551500.854774,94062671.04901004
X_1,Core 0 state,223387924.3475265,2271818654.5769033,2048430730.2293768
X_2,Core 1 state,-310175106.8877546,2301456845.668397,2611631952.5561514
X_3,Core 2 state,883923860.8181909,1789252636.6043031,905328775.7861122
X_4,Core 3 state,-696561108.0667683,1783354538.4775958,2479915646.544364
X_5,Core 4 state,-562774580.3112887,1139335831.5120652,1702110411.8233538
X_6,Core 5 state,-1659154385.505798,2292403774.1547365,3951558159.660535
X_7,Medium Socket or core 6 frequency,1254848553.4219894,1800614477.7153862,545765924.2933967
X_8,Big Socket or core 7 frequency,2920195494.4779315,732405270.1277666,2187790224.350165


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,2920195494.4779315,732405270.1277666,2187790224.350165
X_7,Medium Socket or core 6 frequency,1254848553.4219894,1800614477.7153862,545765924.2933967
X_0,frequency level of Little Socket,1252614171.903784,1158551500.854774,94062671.04901004
X_3,Core 2 state,883923860.8181909,1789252636.6043031,905328775.7861122
X_1,Core 0 state,223387924.3475265,2271818654.5769033,2048430730.2293768
X_2,Core 1 state,-310175106.8877546,2301456845.668397,2611631952.5561514
X_5,Core 4 state,-562774580.3112887,1139335831.5120652,1702110411.8233538
X_4,Core 3 state,-696561108.0667683,1783354538.4775958,2479915646.544364
X_6,Core 5 state,-1659154385.505798,2292403774.1547365,3951558159.660535


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_2,Core 1 state,-310175106.8877546,2301456845.668397,2611631952.5561514
X_6,Core 5 state,-1659154385.505798,2292403774.1547365,3951558159.660535
X_1,Core 0 state,223387924.3475265,2271818654.5769033,2048430730.2293768
X_7,Medium Socket or core 6 frequency,1254848553.4219894,1800614477.7153862,545765924.2933967
X_3,Core 2 state,883923860.8181909,1789252636.6043031,905328775.7861122
X_4,Core 3 state,-696561108.0667683,1783354538.4775958,2479915646.544364
X_0,frequency level of Little Socket,1252614171.903784,1158551500.854774,94062671.04901004
X_5,Core 4 state,-562774580.3112887,1139335831.5120652,1702110411.8233538
X_8,Big Socket or core 7 frequency,2920195494.4779315,732405270.1277666,2187790224.350165


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-1659154385.505798,2292403774.1547365,3951558159.660535
X_2,Core 1 state,-310175106.8877546,2301456845.668397,2611631952.5561514
X_4,Core 3 state,-696561108.0667683,1783354538.4775958,2479915646.544364
X_8,Big Socket or core 7 frequency,2920195494.4779315,732405270.1277666,2187790224.350165
X_1,Core 0 state,223387924.3475265,2271818654.5769033,2048430730.2293768
X_5,Core 4 state,-562774580.3112887,1139335831.5120652,1702110411.8233538
X_3,Core 2 state,883923860.8181909,1789252636.6043031,905328775.7861122
X_7,Medium Socket or core 6 frequency,1254848553.4219894,1800614477.7153862,545765924.2933967
X_0,frequency level of Little Socket,1252614171.903784,1158551500.854774,94062671.04901004
