X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-171650978.87577713,687146000.753648,858796979.6294252
X_1,Core 0 state,-1445871294.5888696,2963981474.62224,4409852769.211109
X_2,Core 1 state,51795453.52747224,2275886321.7911944,2224090868.2637224
X_3,Core 2 state,-48973397.68558257,2465873997.9576936,2514847395.643276
X_4,Core 3 state,-1015288897.669305,1625946240.900149,2641235138.569454
X_5,Core 4 state,-326581814.5213657,311453620.8990408,638035435.4204066
X_6,Core 5 state,-2475429562.4600945,3004697191.2506056,5480126753.7107
X_7,Medium Socket or core 6 frequency,-152412312.96063545,1551349381.1822784,1703761694.1429138
X_8,Big Socket or core 7 frequency,1397843595.1110857,1034416032.2752306,363427562.835855


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,1397843595.1110857,1034416032.2752306,363427562.835855
X_2,Core 1 state,51795453.52747224,2275886321.7911944,2224090868.2637224
X_3,Core 2 state,-48973397.68558257,2465873997.9576936,2514847395.643276
X_7,Medium Socket or core 6 frequency,-152412312.96063545,1551349381.1822784,1703761694.1429138
X_0,frequency level of Little Socket,-171650978.87577713,687146000.753648,858796979.6294252
X_5,Core 4 state,-326581814.5213657,311453620.8990408,638035435.4204066
X_4,Core 3 state,-1015288897.669305,1625946240.900149,2641235138.569454
X_1,Core 0 state,-1445871294.5888696,2963981474.62224,4409852769.211109
X_6,Core 5 state,-2475429562.4600945,3004697191.2506056,5480126753.7107


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-2475429562.4600945,3004697191.2506056,5480126753.7107
X_1,Core 0 state,-1445871294.5888696,2963981474.62224,4409852769.211109
X_3,Core 2 state,-48973397.68558257,2465873997.9576936,2514847395.643276
X_2,Core 1 state,51795453.52747224,2275886321.7911944,2224090868.2637224
X_4,Core 3 state,-1015288897.669305,1625946240.900149,2641235138.569454
X_7,Medium Socket or core 6 frequency,-152412312.96063545,1551349381.1822784,1703761694.1429138
X_8,Big Socket or core 7 frequency,1397843595.1110857,1034416032.2752306,363427562.835855
X_0,frequency level of Little Socket,-171650978.87577713,687146000.753648,858796979.6294252
X_5,Core 4 state,-326581814.5213657,311453620.8990408,638035435.4204066


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-2475429562.4600945,3004697191.2506056,5480126753.7107
X_1,Core 0 state,-1445871294.5888696,2963981474.62224,4409852769.211109
X_4,Core 3 state,-1015288897.669305,1625946240.900149,2641235138.569454
X_3,Core 2 state,-48973397.68558257,2465873997.9576936,2514847395.643276
X_2,Core 1 state,51795453.52747224,2275886321.7911944,2224090868.2637224
X_7,Medium Socket or core 6 frequency,-152412312.96063545,1551349381.1822784,1703761694.1429138
X_0,frequency level of Little Socket,-171650978.87577713,687146000.753648,858796979.6294252
X_5,Core 4 state,-326581814.5213657,311453620.8990408,638035435.4204066
X_8,Big Socket or core 7 frequency,1397843595.1110857,1034416032.2752306,363427562.835855
