input_data_set, R2 score, dynamic_score
525, 0.5918367346938775, 0.8811131526964723
500, 0.5714285714285715, 0.8794740176613643
450, 0.657142857142857, 0.8769218467621971
375, 0.7857142857142857, 0.8699099605536225
250, 0.6122448979591837, 0.8685438933206657
400, 0.6285714285714286, 0.8570058072524344
475, 0.7142857142857143, 0.8553388678683915
275, 0.6, 0.8377286369406771
425, 0.8214285714285714, 0.8291989438106095
325, 0.6, 0.8285092053881798
125, 0.32142857142857145, 0.8189148741606547
300, 0.7428571428571429, 0.8045488981761043
200, 0.37142857142857144, 0.7810539517550326
350, 0.7142857142857143, 0.7481135544515584
175, 0.4857142857142857, 0.745267757534974
225, 0.6, 0.6878079839644367
150, 0.5555555555555556, 0.6797854800078884
100, 0.42857142857142855, 0.6006699414996651
