X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,954861861.8855973,979742956.178562,24881094.292964697
X_1,Core 0 state,346259057.63173807,2159045866.4418755,1812786808.8101373
X_2,Core 1 state,161477746.08878675,2084819445.0516849,1923341698.962898
X_3,Core 2 state,1338887067.4847283,2050374398.3515584,711487330.8668301
X_4,Core 3 state,-883846578.6083363,1946773429.4960554,2830620008.1043916
X_5,Core 4 state,-990951794.4207653,1275751762.0429938,2266703556.463759
X_6,Core 5 state,-2119706263.9893134,2269847592.051495,4389553856.040809
X_7,Medium Socket or core 6 frequency,1156383822.2258942,1698889178.591497,542505356.3656027
X_8,Big Socket or core 7 frequency,2329649924.36382,867542912.829265,1462107011.534555


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,2329649924.36382,867542912.829265,1462107011.534555
X_3,Core 2 state,1338887067.4847283,2050374398.3515584,711487330.8668301
X_7,Medium Socket or core 6 frequency,1156383822.2258942,1698889178.591497,542505356.3656027
X_0,frequency level of Little Socket,954861861.8855973,979742956.178562,24881094.292964697
X_1,Core 0 state,346259057.63173807,2159045866.4418755,1812786808.8101373
X_2,Core 1 state,161477746.08878675,2084819445.0516849,1923341698.962898
X_4,Core 3 state,-883846578.6083363,1946773429.4960554,2830620008.1043916
X_5,Core 4 state,-990951794.4207653,1275751762.0429938,2266703556.463759
X_6,Core 5 state,-2119706263.9893134,2269847592.051495,4389553856.040809


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-2119706263.9893134,2269847592.051495,4389553856.040809
X_1,Core 0 state,346259057.63173807,2159045866.4418755,1812786808.8101373
X_2,Core 1 state,161477746.08878675,2084819445.0516849,1923341698.962898
X_3,Core 2 state,1338887067.4847283,2050374398.3515584,711487330.8668301
X_4,Core 3 state,-883846578.6083363,1946773429.4960554,2830620008.1043916
X_7,Medium Socket or core 6 frequency,1156383822.2258942,1698889178.591497,542505356.3656027
X_5,Core 4 state,-990951794.4207653,1275751762.0429938,2266703556.463759
X_0,frequency level of Little Socket,954861861.8855973,979742956.178562,24881094.292964697
X_8,Big Socket or core 7 frequency,2329649924.36382,867542912.829265,1462107011.534555


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-2119706263.9893134,2269847592.051495,4389553856.040809
X_4,Core 3 state,-883846578.6083363,1946773429.4960554,2830620008.1043916
X_5,Core 4 state,-990951794.4207653,1275751762.0429938,2266703556.463759
X_2,Core 1 state,161477746.08878675,2084819445.0516849,1923341698.962898
X_1,Core 0 state,346259057.63173807,2159045866.4418755,1812786808.8101373
X_8,Big Socket or core 7 frequency,2329649924.36382,867542912.829265,1462107011.534555
X_3,Core 2 state,1338887067.4847283,2050374398.3515584,711487330.8668301
X_7,Medium Socket or core 6 frequency,1156383822.2258942,1698889178.591497,542505356.3656027
X_0,frequency level of Little Socket,954861861.8855973,979742956.178562,24881094.292964697
