Variable,meaning ,d_X_1 (Variation relative to Core 0 state),asolute d_X_1
X_0,frequency level of Little Socket,-647053522.9892951,647053522.9892951
X_1,Core 0 state,2006002672.4183798,2006002672.4183798
X_2,Core 1 state,171952546.00338057,171952546.00338057
X_3,Core 2 state,120798680.58006701,120798680.58006701
X_4,Core 3 state,-199767564.27658385,199767564.27658385
X_5,Core 4 state,99565734.01791844,99565734.01791844
X_6,Core 5 state,-1131701164.5683277,1131701164.5683277
X_7,Medium Socket or core 6 frequency,33564214.09130338,33564214.09130338
X_8,Big Socket or core 7 frequency,122857248.75686103,122857248.75686103


 Ordered by value of coefficient, the first has the best positive interaction, with Core 0 state 
 Variable,meaning ,d_X_1 (Variation relative to Core 0 state),asolute d_X_1
X_1,Core 0 state,2006002672.4183798,2006002672.4183798
X_2,Core 1 state,171952546.00338057,171952546.00338057
X_8,Big Socket or core 7 frequency,122857248.75686103,122857248.75686103
X_3,Core 2 state,120798680.58006701,120798680.58006701
X_5,Core 4 state,99565734.01791844,99565734.01791844
X_7,Medium Socket or core 6 frequency,33564214.09130338,33564214.09130338
X_4,Core 3 state,-199767564.27658385,199767564.27658385
X_0,frequency level of Little Socket,-647053522.9892951,647053522.9892951
X_6,Core 5 state,-1131701164.5683277,1131701164.5683277


 Ordered by absolute value of coefficients,  the first has the best absolute interaction, with Core 0 state  
 Variable,meaning ,d_X_1 (Variation relative to Core 0 state),asolute d_X_1
X_1,Core 0 state,2006002672.4183798,2006002672.4183798
X_6,Core 5 state,-1131701164.5683277,1131701164.5683277
X_0,frequency level of Little Socket,-647053522.9892951,647053522.9892951
X_4,Core 3 state,-199767564.27658385,199767564.27658385
X_2,Core 1 state,171952546.00338057,171952546.00338057
X_8,Big Socket or core 7 frequency,122857248.75686103,122857248.75686103
X_3,Core 2 state,120798680.58006701,120798680.58006701
X_5,Core 4 state,99565734.01791844,99565734.01791844
X_7,Medium Socket or core 6 frequency,33564214.09130338,33564214.09130338
