X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,1078842478.9731789,877641334.0955703,201201144.87760854
X_1,Core 0 state,1016425306.9680184,2613224981.483983,1596799674.5159645
X_2,Core 1 state,703026784.2452468,2401287966.2938666,1698261182.0486197
X_3,Core 2 state,216115984.99678615,2069859445.227145,1853743460.2303588
X_4,Core 3 state,-211034459.9874711,2209902165.287872,2420936625.275343
X_5,Core 4 state,-641170462.7617527,735449561.3862617,1376620024.1480145
X_6,Core 5 state,-2140596363.4969409,2117922269.0841615,4258518632.5811024
X_7,Medium Socket or core 6 frequency,332309669.81213844,1456462444.4902043,1124152774.6780658
X_8,Big Socket or core 7 frequency,2502203819.4046893,1030489471.2338302,1471714348.170859


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,2502203819.4046893,1030489471.2338302,1471714348.170859
X_0,frequency level of Little Socket,1078842478.9731789,877641334.0955703,201201144.87760854
X_1,Core 0 state,1016425306.9680184,2613224981.483983,1596799674.5159645
X_2,Core 1 state,703026784.2452468,2401287966.2938666,1698261182.0486197
X_7,Medium Socket or core 6 frequency,332309669.81213844,1456462444.4902043,1124152774.6780658
X_3,Core 2 state,216115984.99678615,2069859445.227145,1853743460.2303588
X_4,Core 3 state,-211034459.9874711,2209902165.287872,2420936625.275343
X_5,Core 4 state,-641170462.7617527,735449561.3862617,1376620024.1480145
X_6,Core 5 state,-2140596363.4969409,2117922269.0841615,4258518632.5811024


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_1,Core 0 state,1016425306.9680184,2613224981.483983,1596799674.5159645
X_2,Core 1 state,703026784.2452468,2401287966.2938666,1698261182.0486197
X_4,Core 3 state,-211034459.9874711,2209902165.287872,2420936625.275343
X_6,Core 5 state,-2140596363.4969409,2117922269.0841615,4258518632.5811024
X_3,Core 2 state,216115984.99678615,2069859445.227145,1853743460.2303588
X_7,Medium Socket or core 6 frequency,332309669.81213844,1456462444.4902043,1124152774.6780658
X_8,Big Socket or core 7 frequency,2502203819.4046893,1030489471.2338302,1471714348.170859
X_0,frequency level of Little Socket,1078842478.9731789,877641334.0955703,201201144.87760854
X_5,Core 4 state,-641170462.7617527,735449561.3862617,1376620024.1480145


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-2140596363.4969409,2117922269.0841615,4258518632.5811024
X_4,Core 3 state,-211034459.9874711,2209902165.287872,2420936625.275343
X_3,Core 2 state,216115984.99678615,2069859445.227145,1853743460.2303588
X_2,Core 1 state,703026784.2452468,2401287966.2938666,1698261182.0486197
X_1,Core 0 state,1016425306.9680184,2613224981.483983,1596799674.5159645
X_8,Big Socket or core 7 frequency,2502203819.4046893,1030489471.2338302,1471714348.170859
X_5,Core 4 state,-641170462.7617527,735449561.3862617,1376620024.1480145
X_7,Medium Socket or core 6 frequency,332309669.81213844,1456462444.4902043,1124152774.6780658
X_0,frequency level of Little Socket,1078842478.9731789,877641334.0955703,201201144.87760854
