X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,1023045692.4721718,978868503.1316272,44177189.34054458
X_1,Core 0 state,1573736661.760368,2530164859.8327837,956428198.0724156
X_2,Core 1 state,222993439.15208456,2019907083.363452,1796913644.2113674
X_3,Core 2 state,771459767.0090067,1981822386.5936415,1210362619.5846348
X_4,Core 3 state,-1000280791.8979663,1927621777.0962634,2927902568.99423
X_5,Core 4 state,-1498110692.2617195,947209321.5931364,2445320013.854856
X_6,Core 5 state,-2047826524.2674139,2461900500.8590336,4509727025.126448
X_7,Medium Socket or core 6 frequency,834903311.9361974,1663205096.2567527,828301784.3205553
X_8,Big Socket or core 7 frequency,2018267053.3246222,866732185.9166597,1151534867.4079623


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,2018267053.3246222,866732185.9166597,1151534867.4079623
X_1,Core 0 state,1573736661.760368,2530164859.8327837,956428198.0724156
X_0,frequency level of Little Socket,1023045692.4721718,978868503.1316272,44177189.34054458
X_7,Medium Socket or core 6 frequency,834903311.9361974,1663205096.2567527,828301784.3205553
X_3,Core 2 state,771459767.0090067,1981822386.5936415,1210362619.5846348
X_2,Core 1 state,222993439.15208456,2019907083.363452,1796913644.2113674
X_4,Core 3 state,-1000280791.8979663,1927621777.0962634,2927902568.99423
X_5,Core 4 state,-1498110692.2617195,947209321.5931364,2445320013.854856
X_6,Core 5 state,-2047826524.2674139,2461900500.8590336,4509727025.126448


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_1,Core 0 state,1573736661.760368,2530164859.8327837,956428198.0724156
X_6,Core 5 state,-2047826524.2674139,2461900500.8590336,4509727025.126448
X_2,Core 1 state,222993439.15208456,2019907083.363452,1796913644.2113674
X_3,Core 2 state,771459767.0090067,1981822386.5936415,1210362619.5846348
X_4,Core 3 state,-1000280791.8979663,1927621777.0962634,2927902568.99423
X_7,Medium Socket or core 6 frequency,834903311.9361974,1663205096.2567527,828301784.3205553
X_0,frequency level of Little Socket,1023045692.4721718,978868503.1316272,44177189.34054458
X_5,Core 4 state,-1498110692.2617195,947209321.5931364,2445320013.854856
X_8,Big Socket or core 7 frequency,2018267053.3246222,866732185.9166597,1151534867.4079623


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-2047826524.2674139,2461900500.8590336,4509727025.126448
X_4,Core 3 state,-1000280791.8979663,1927621777.0962634,2927902568.99423
X_5,Core 4 state,-1498110692.2617195,947209321.5931364,2445320013.854856
X_2,Core 1 state,222993439.15208456,2019907083.363452,1796913644.2113674
X_3,Core 2 state,771459767.0090067,1981822386.5936415,1210362619.5846348
X_8,Big Socket or core 7 frequency,2018267053.3246222,866732185.9166597,1151534867.4079623
X_1,Core 0 state,1573736661.760368,2530164859.8327837,956428198.0724156
X_7,Medium Socket or core 6 frequency,834903311.9361974,1663205096.2567527,828301784.3205553
X_0,frequency level of Little Socket,1023045692.4721718,978868503.1316272,44177189.34054458
