X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-648058272.4887108,800796291.1984218,1448854563.6871326
X_1,Core 0 state,-563300924.8341497,2378172457.9370346,2941473382.7711844
X_2,Core 1 state,75716454.45285082,2445920827.6867075,2370204373.2338567
X_3,Core 2 state,100147121.69420162,2585640294.2857003,2485493172.591499
X_4,Core 3 state,11044893.502585497,1752457228.8983686,1741412335.3957832
X_5,Core 4 state,695285198.573055,777195678.879354,81910480.30629897
X_6,Core 5 state,-612429861.518657,2222863625.365054,2835293486.883711
X_7,Medium Socket or core 6 frequency,403175380.397992,1511948607.6930695,1108773227.2950773
X_8,Big Socket or core 7 frequency,1642173772.406906,1005244623.4741137,636929148.9327922


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,1642173772.406906,1005244623.4741137,636929148.9327922
X_5,Core 4 state,695285198.573055,777195678.879354,81910480.30629897
X_7,Medium Socket or core 6 frequency,403175380.397992,1511948607.6930695,1108773227.2950773
X_3,Core 2 state,100147121.69420162,2585640294.2857003,2485493172.591499
X_2,Core 1 state,75716454.45285082,2445920827.6867075,2370204373.2338567
X_4,Core 3 state,11044893.502585497,1752457228.8983686,1741412335.3957832
X_1,Core 0 state,-563300924.8341497,2378172457.9370346,2941473382.7711844
X_6,Core 5 state,-612429861.518657,2222863625.365054,2835293486.883711
X_0,frequency level of Little Socket,-648058272.4887108,800796291.1984218,1448854563.6871326


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_3,Core 2 state,100147121.69420162,2585640294.2857003,2485493172.591499
X_2,Core 1 state,75716454.45285082,2445920827.6867075,2370204373.2338567
X_1,Core 0 state,-563300924.8341497,2378172457.9370346,2941473382.7711844
X_6,Core 5 state,-612429861.518657,2222863625.365054,2835293486.883711
X_4,Core 3 state,11044893.502585497,1752457228.8983686,1741412335.3957832
X_7,Medium Socket or core 6 frequency,403175380.397992,1511948607.6930695,1108773227.2950773
X_8,Big Socket or core 7 frequency,1642173772.406906,1005244623.4741137,636929148.9327922
X_0,frequency level of Little Socket,-648058272.4887108,800796291.1984218,1448854563.6871326
X_5,Core 4 state,695285198.573055,777195678.879354,81910480.30629897


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_1,Core 0 state,-563300924.8341497,2378172457.9370346,2941473382.7711844
X_6,Core 5 state,-612429861.518657,2222863625.365054,2835293486.883711
X_3,Core 2 state,100147121.69420162,2585640294.2857003,2485493172.591499
X_2,Core 1 state,75716454.45285082,2445920827.6867075,2370204373.2338567
X_4,Core 3 state,11044893.502585497,1752457228.8983686,1741412335.3957832
X_0,frequency level of Little Socket,-648058272.4887108,800796291.1984218,1448854563.6871326
X_7,Medium Socket or core 6 frequency,403175380.397992,1511948607.6930695,1108773227.2950773
X_8,Big Socket or core 7 frequency,1642173772.406906,1005244623.4741137,636929148.9327922
X_5,Core 4 state,695285198.573055,777195678.879354,81910480.30629897
