X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-96698343.67767243,885506254.043159,982204597.7208314
X_1,Core 0 state,-904887585.3064551,2276947634.660237,3181835219.966692
X_2,Core 1 state,-554009219.3722111,2512271661.4532614,3066280880.8254724
X_3,Core 2 state,-419626092.5013106,2773671088.13172,3193297180.633031
X_4,Core 3 state,-717348762.2809161,1072103391.2006868,1789452153.481603
X_5,Core 4 state,-540336317.3364457,880156499.8830601,1420492817.2195058
X_6,Core 5 state,-1583755935.7452784,2089054071.6337729,3672810007.379051
X_7,Medium Socket or core 6 frequency,-355248662.9748347,1702258716.6190848,2057507379.5939195
X_8,Big Socket or core 7 frequency,1058399698.5446509,949586670.9887613,108813027.5558896


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,1058399698.5446509,949586670.9887613,108813027.5558896
X_0,frequency level of Little Socket,-96698343.67767243,885506254.043159,982204597.7208314
X_7,Medium Socket or core 6 frequency,-355248662.9748347,1702258716.6190848,2057507379.5939195
X_3,Core 2 state,-419626092.5013106,2773671088.13172,3193297180.633031
X_5,Core 4 state,-540336317.3364457,880156499.8830601,1420492817.2195058
X_2,Core 1 state,-554009219.3722111,2512271661.4532614,3066280880.8254724
X_4,Core 3 state,-717348762.2809161,1072103391.2006868,1789452153.481603
X_1,Core 0 state,-904887585.3064551,2276947634.660237,3181835219.966692
X_6,Core 5 state,-1583755935.7452784,2089054071.6337729,3672810007.379051


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_3,Core 2 state,-419626092.5013106,2773671088.13172,3193297180.633031
X_2,Core 1 state,-554009219.3722111,2512271661.4532614,3066280880.8254724
X_1,Core 0 state,-904887585.3064551,2276947634.660237,3181835219.966692
X_6,Core 5 state,-1583755935.7452784,2089054071.6337729,3672810007.379051
X_7,Medium Socket or core 6 frequency,-355248662.9748347,1702258716.6190848,2057507379.5939195
X_4,Core 3 state,-717348762.2809161,1072103391.2006868,1789452153.481603
X_8,Big Socket or core 7 frequency,1058399698.5446509,949586670.9887613,108813027.5558896
X_0,frequency level of Little Socket,-96698343.67767243,885506254.043159,982204597.7208314
X_5,Core 4 state,-540336317.3364457,880156499.8830601,1420492817.2195058


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-1583755935.7452784,2089054071.6337729,3672810007.379051
X_3,Core 2 state,-419626092.5013106,2773671088.13172,3193297180.633031
X_1,Core 0 state,-904887585.3064551,2276947634.660237,3181835219.966692
X_2,Core 1 state,-554009219.3722111,2512271661.4532614,3066280880.8254724
X_7,Medium Socket or core 6 frequency,-355248662.9748347,1702258716.6190848,2057507379.5939195
X_4,Core 3 state,-717348762.2809161,1072103391.2006868,1789452153.481603
X_5,Core 4 state,-540336317.3364457,880156499.8830601,1420492817.2195058
X_0,frequency level of Little Socket,-96698343.67767243,885506254.043159,982204597.7208314
X_8,Big Socket or core 7 frequency,1058399698.5446509,949586670.9887613,108813027.5558896
