configurations,google pixel format, model format, energy_efficiency estimated
222222-1-2,[2- 2- 2- 2- 2- 2- 1- 2],1-1-1-1-1-1-1-1-1-1,13587847724.327976
222222-2-2,[2- 2- 2- 2- 2- 2- 2- 2],1-1-1-1-1-1-1-1-1-1,13587847724.327976
222222-3-2,[2- 2- 2- 2- 2- 2- 3- 2],1-1-1-1-1-1-1-1-1-1,13587847724.327976
333333-1-2,[3- 3- 3- 3- 3- 3- 1- 2],2-1-1-1-1-1-1-1-1-1,13272692206.988403
333333-2-2,[3- 3- 3- 3- 3- 3- 2- 2],2-1-1-1-1-1-1-1-1-1,13272692206.988403
333333-3-2,[3- 3- 3- 3- 3- 3- 3- 2],2-1-1-1-1-1-1-1-1-1,13272692206.988403
222222-1-1,[2- 2- 2- 2- 2- 2- 1- 1],1-1-1-1-1-0-1-1-1-1,13189421176.273312
222222-2-1,[2- 2- 2- 2- 2- 2- 2- 1],1-1-1-1-1-0-1-1-1-1,13189421176.273312
222222-3-1,[2- 2- 2- 2- 2- 2- 3- 1],1-1-1-1-1-0-1-1-1-1,13189421176.273312
222222-1-3,[2- 2- 2- 2- 2- 2- 1- 3],1-1-1-1-1-2-1-1-1-1,13145179017.704361
222222-2-3,[2- 2- 2- 2- 2- 2- 2- 3],1-1-1-1-1-2-1-1-1-1,13145179017.704361
222222-3-3,[2- 2- 2- 2- 2- 2- 3- 3],1-1-1-1-1-2-1-1-1-1,13145179017.704361
333333-1-1,[3- 3- 3- 3- 3- 3- 1- 1],2-1-1-1-1-0-1-1-1-1,13000917302.793013
333333-2-1,[3- 3- 3- 3- 3- 3- 2- 1],2-1-1-1-1-0-1-1-1-1,13000917302.793013
333333-3-1,[3- 3- 3- 3- 3- 3- 3- 1],2-1-1-1-1-0-1-1-1-1,13000917302.793013
202222-1-2,[2- 0- 2- 2- 2- 2- 1- 2],1-1-0-1-1-1-1-1-1-1,12869382489.22041
202222-2-2,[2- 0- 2- 2- 2- 2- 2- 2],1-1-0-1-1-1-1-1-1-1,12869382489.22041
202222-3-2,[2- 0- 2- 2- 2- 2- 3- 2],1-1-0-1-1-1-1-1-1-1,12869382489.22041
220222-1-2,[2- 2- 0- 2- 2- 2- 1- 2],1-1-1-0-1-1-1-1-1-1,12824831678.900328
220222-2-2,[2- 2- 0- 2- 2- 2- 2- 2],1-1-1-0-1-1-1-1-1-1,12824831678.900328
220222-3-2,[2- 2- 0- 2- 2- 2- 3- 2],1-1-1-0-1-1-1-1-1-1,12824831678.900328
022222-1-2,[0- 2- 2- 2- 2- 2- 1- 2],1-0-1-1-1-1-1-1-1-1,12815026368.771805
022222-2-2,[0- 2- 2- 2- 2- 2- 2- 2],1-0-1-1-1-1-1-1-1-1,12815026368.771805
022222-3-2,[0- 2- 2- 2- 2- 2- 3- 2],1-0-1-1-1-1-1-1-1-1,12815026368.771805
333333-1-3,[3- 3- 3- 3- 3- 3- 1- 3],2-1-1-1-1-2-1-1-1-1,12700089026.177563
333333-2-3,[3- 3- 3- 3- 3- 3- 2- 3],2-1-1-1-1-2-1-1-1-1,12700089026.177563
333333-3-3,[3- 3- 3- 3- 3- 3- 3- 3],2-1-1-1-1-2-1-1-1-1,12700089026.177563
222222-0-2,[2- 2- 2- 2- 2- 2- 0- 2],1-1-1-1-1-1-1-1-0-1,12653153500.079697
333333-0-2,[3- 3- 3- 3- 3- 3- 0- 2],2-1-1-1-1-1-1-1-0-1,12612572303.142214
111111-1-2,[1- 1- 1- 1- 1- 1- 1- 2],0-1-1-1-1-1-1-1-1-1,12572184316.54136
111111-2-2,[1- 1- 1- 1- 1- 1- 2- 2],0-1-1-1-1-1-1-1-1-1,12572184316.54136
111111-3-2,[1- 1- 1- 1- 1- 1- 3- 2],0-1-1-1-1-1-1-1-1-1,12572184316.54136
202222-1-1,[2- 0- 2- 2- 2- 2- 1- 1],1-1-0-1-1-0-1-1-1-1,12522979795.08989
202222-2-1,[2- 0- 2- 2- 2- 2- 2- 1],1-1-0-1-1-0-1-1-1-1,12522979795.08989
202222-3-1,[2- 0- 2- 2- 2- 2- 3- 1],1-1-0-1-1-0-1-1-1-1,12522979795.08989
303333-1-2,[3- 0- 3- 3- 3- 3- 1- 2],2-1-0-1-1-1-1-1-1-1,12517962363.83012
303333-2-2,[3- 0- 3- 3- 3- 3- 2- 2],2-1-0-1-1-1-1-1-1-1,12517962363.83012
303333-3-2,[3- 0- 3- 3- 3- 3- 3- 2],2-1-0-1-1-1-1-1-1-1,12517962363.83012
220222-1-3,[2- 2- 0- 2- 2- 2- 1- 3],1-1-1-0-1-2-1-1-1-1,12469948779.10233
220222-2-3,[2- 2- 0- 2- 2- 2- 2- 3],1-1-1-0-1-2-1-1-1-1,12469948779.10233
220222-3-3,[2- 2- 0- 2- 2- 2- 3- 3],1-1-1-0-1-2-1-1-1-1,12469948779.10233
022222-1-1,[0- 2- 2- 2- 2- 2- 1- 1],1-0-1-1-1-0-1-1-1-1,12453678142.669174
022222-2-1,[0- 2- 2- 2- 2- 2- 2- 1],1-0-1-1-1-0-1-1-1-1,12453678142.669174
022222-3-1,[0- 2- 2- 2- 2- 2- 3- 1],1-0-1-1-1-0-1-1-1-1,12453678142.669174
202222-1-3,[2- 0- 2- 2- 2- 2- 1- 3],1-1-0-1-1-2-1-1-1-1,12444823777.50125
202222-2-3,[2- 0- 2- 2- 2- 2- 2- 3],1-1-0-1-1-2-1-1-1-1,12444823777.50125
202222-3-3,[2- 0- 2- 2- 2- 2- 3- 3],1-1-0-1-1-2-1-1-1-1,12444823777.50125
022222-1-3,[0- 2- 2- 2- 2- 2- 1- 3],1-0-1-1-1-2-1-1-1-1,12418383418.38122
022222-2-3,[0- 2- 2- 2- 2- 2- 2- 3],1-0-1-1-1-2-1-1-1-1,12418383418.38122
022222-3-3,[0- 2- 2- 2- 2- 2- 3- 3],1-0-1-1-1-2-1-1-1-1,12418383418.38122
220222-1-1,[2- 2- 0- 2- 2- 2- 1- 1],1-1-1-0-1-0-1-1-1-1,12407165580.975964
220222-2-1,[2- 2- 0- 2- 2- 2- 2- 1],1-1-1-0-1-0-1-1-1-1,12407165580.975964
220222-3-1,[2- 2- 0- 2- 2- 2- 3- 1],1-1-1-0-1-0-1-1-1-1,12407165580.975964
330333-1-2,[3- 3- 0- 3- 3- 3- 1- 2],2-1-1-0-1-1-1-1-1-1,12385049103.408533
330333-2-2,[3- 3- 0- 3- 3- 3- 2- 2],2-1-1-0-1-1-1-1-1-1,12385049103.408533
330333-3-2,[3- 3- 0- 3- 3- 3- 3- 2],2-1-1-0-1-1-1-1-1-1,12385049103.408533
222220-1-2,[2- 2- 2- 2- 2- 0- 1- 2],1-1-1-1-1-1-1-0-1-1,12382894758.280933
222220-2-2,[2- 2- 2- 2- 2- 0- 2- 2],1-1-1-1-1-1-1-0-1-1,12382894758.280933
222220-3-2,[2- 2- 2- 2- 2- 0- 3- 2],1-1-1-1-1-1-1-0-1-1,12382894758.280933
033333-1-2,[0- 3- 3- 3- 3- 3- 1- 2],2-0-1-1-1-1-1-1-1-1,12361684363.690063
033333-2-2,[0- 3- 3- 3- 3- 3- 2- 2],2-0-1-1-1-1-1-1-1-1,12361684363.690063
033333-3-2,[0- 3- 3- 3- 3- 3- 3- 2],2-0-1-1-1-1-1-1-1-1,12361684363.690063
222222-0-3,[2- 2- 2- 2- 2- 2- 0- 3],1-1-1-1-1-2-1-1-0-1,12350205539.346308
333333-0-1,[3- 3- 3- 3- 3- 3- 0- 1],2-1-1-1-1-0-1-1-0-1,12295913893.966192
303333-1-1,[3- 0- 3- 3- 3- 3- 1- 1],2-1-0-1-1-0-1-1-1-1,12290727656.158045
303333-2-1,[3- 0- 3- 3- 3- 3- 2- 1],2-1-0-1-1-0-1-1-1-1,12290727656.158045
303333-3-1,[3- 0- 3- 3- 3- 3- 3- 1],2-1-0-1-1-0-1-1-1-1,12290727656.158045
111111-1-3,[1- 1- 1- 1- 1- 1- 1- 3],0-1-1-1-1-2-1-1-1-1,12279789535.269695
111111-2-3,[1- 1- 1- 1- 1- 1- 2- 3],0-1-1-1-1-2-1-1-1-1,12279789535.269695
111111-3-3,[1- 1- 1- 1- 1- 1- 3- 3],0-1-1-1-1-2-1-1-1-1,12279789535.269695
