Variable,meaning ,d_X_6 (Variation relative to Core 4 state),asolute d_X_6
X_0,frequency level of Little Socket,-596255261.2258824,596255261.2258824
X_1,Core 0 state,-1109608972.8467116,1109608972.8467116
X_2,Core 1 state,-1411230751.5564775,1411230751.5564775
X_3,Core 2 state,-403148929.968742,403148929.968742
X_4,Core 3 state,-201431413.03233424,201431413.03233424
X_5,frequency level of Big Socket,128449830.92636177,128449830.92636177
X_6,Core 4 state,-805536547.6522871,805536547.6522871
X_7,Core 5 state,232944111.78025642,232944111.78025642
X_8,Core 6 state,106828934.37086603,106828934.37086603
X_9,Core 7 state,-471778929.53350025,471778929.53350025


 Ordered by value of coefficient, the first has the best positive interaction, with Core 4 state 
 Variable,meaning ,d_X_6 (Variation relative to Core 4 state),asolute d_X_6
X_7,Core 5 state,232944111.78025642,232944111.78025642
X_5,frequency level of Big Socket,128449830.92636177,128449830.92636177
X_8,Core 6 state,106828934.37086603,106828934.37086603
X_4,Core 3 state,-201431413.03233424,201431413.03233424
X_3,Core 2 state,-403148929.968742,403148929.968742
X_9,Core 7 state,-471778929.53350025,471778929.53350025
X_0,frequency level of Little Socket,-596255261.2258824,596255261.2258824
X_6,Core 4 state,-805536547.6522871,805536547.6522871
X_1,Core 0 state,-1109608972.8467116,1109608972.8467116
X_2,Core 1 state,-1411230751.5564775,1411230751.5564775


 Ordered by absolute value of coefficients,  the first has the best absolute interaction, with Core 4 state  
 Variable,meaning ,d_X_6 (Variation relative to Core 4 state),asolute d_X_6
X_2,Core 1 state,-1411230751.5564775,1411230751.5564775
X_1,Core 0 state,-1109608972.8467116,1109608972.8467116
X_6,Core 4 state,-805536547.6522871,805536547.6522871
X_0,frequency level of Little Socket,-596255261.2258824,596255261.2258824
X_9,Core 7 state,-471778929.53350025,471778929.53350025
X_3,Core 2 state,-403148929.968742,403148929.968742
X_7,Core 5 state,232944111.78025642,232944111.78025642
X_4,Core 3 state,-201431413.03233424,201431413.03233424
X_5,frequency level of Big Socket,128449830.92636177,128449830.92636177
X_8,Core 6 state,106828934.37086603,106828934.37086603
