Variable,meaning ,d_X_1 (Variation relative to Core 0 state),asolute d_X_1
X_0,frequency level of Little Socket,-644610916.4753703,644610916.4753703
X_1,Core 0 state,190207513.95840552,190207513.95840552
X_2,Core 1 state,349480694.81905603,349480694.81905603
X_3,Core 2 state,9486680.731492579,9486680.731492579
X_4,Core 3 state,-518345528.59840524,518345528.59840524
X_5,frequency level of Big Socket,-140684168.66351885,140684168.66351885
X_6,Core 4 state,-219538694.08657748,219538694.08657748
X_7,Core 5 state,-224434006.5719647,224434006.5719647
X_8,Core 6 state,-7885341.67304204,7885341.67304204
X_9,Core 7 state,-448337401.90616333,448337401.90616333


 Ordered by value of coefficient, the first has the best positive interaction, with Core 0 state 
 Variable,meaning ,d_X_1 (Variation relative to Core 0 state),asolute d_X_1
X_2,Core 1 state,349480694.81905603,349480694.81905603
X_1,Core 0 state,190207513.95840552,190207513.95840552
X_3,Core 2 state,9486680.731492579,9486680.731492579
X_8,Core 6 state,-7885341.67304204,7885341.67304204
X_5,frequency level of Big Socket,-140684168.66351885,140684168.66351885
X_6,Core 4 state,-219538694.08657748,219538694.08657748
X_7,Core 5 state,-224434006.5719647,224434006.5719647
X_9,Core 7 state,-448337401.90616333,448337401.90616333
X_4,Core 3 state,-518345528.59840524,518345528.59840524
X_0,frequency level of Little Socket,-644610916.4753703,644610916.4753703


 Ordered by absolute value of coefficients,  the first has the best absolute interaction, with Core 0 state  
 Variable,meaning ,d_X_1 (Variation relative to Core 0 state),asolute d_X_1
X_0,frequency level of Little Socket,-644610916.4753703,644610916.4753703
X_4,Core 3 state,-518345528.59840524,518345528.59840524
X_9,Core 7 state,-448337401.90616333,448337401.90616333
X_2,Core 1 state,349480694.81905603,349480694.81905603
X_7,Core 5 state,-224434006.5719647,224434006.5719647
X_6,Core 4 state,-219538694.08657748,219538694.08657748
X_1,Core 0 state,190207513.95840552,190207513.95840552
X_5,frequency level of Big Socket,-140684168.66351885,140684168.66351885
X_3,Core 2 state,9486680.731492579,9486680.731492579
X_8,Core 6 state,-7885341.67304204,7885341.67304204
