Variable,meaning ,d_X_4 (Variation relative to Core 3 state),asolute d_X_4
X_0,frequency level of Little Socket,-1593608718.922418,1593608718.922418
X_1,Core 0 state,-918267833.8838896,918267833.8838896
X_2,Core 1 state,-1340676242.4562423,1340676242.4562423
X_3,Core 2 state,-747749062.9126238,747749062.9126238
X_4,Core 3 state,217746753.27882004,217746753.27882004
X_5,frequency level of Big Socket,-465034121.4988518,465034121.4988518
X_6,Core 4 state,-340914580.68827564,340914580.68827564
X_7,Core 5 state,338437241.3995771,338437241.3995771
X_8,Core 6 state,523361754.9379459,523361754.9379459
X_9,Core 7 state,-226549059.73385864,226549059.73385864


 Ordered by value of coefficient, the first has the best positive interaction, with Core 3 state 
 Variable,meaning ,d_X_4 (Variation relative to Core 3 state),asolute d_X_4
X_8,Core 6 state,523361754.9379459,523361754.9379459
X_7,Core 5 state,338437241.3995771,338437241.3995771
X_4,Core 3 state,217746753.27882004,217746753.27882004
X_9,Core 7 state,-226549059.73385864,226549059.73385864
X_6,Core 4 state,-340914580.68827564,340914580.68827564
X_5,frequency level of Big Socket,-465034121.4988518,465034121.4988518
X_3,Core 2 state,-747749062.9126238,747749062.9126238
X_1,Core 0 state,-918267833.8838896,918267833.8838896
X_2,Core 1 state,-1340676242.4562423,1340676242.4562423
X_0,frequency level of Little Socket,-1593608718.922418,1593608718.922418


 Ordered by absolute value of coefficients,  the first has the best absolute interaction, with Core 3 state  
 Variable,meaning ,d_X_4 (Variation relative to Core 3 state),asolute d_X_4
X_0,frequency level of Little Socket,-1593608718.922418,1593608718.922418
X_2,Core 1 state,-1340676242.4562423,1340676242.4562423
X_1,Core 0 state,-918267833.8838896,918267833.8838896
X_3,Core 2 state,-747749062.9126238,747749062.9126238
X_8,Core 6 state,523361754.9379459,523361754.9379459
X_5,frequency level of Big Socket,-465034121.4988518,465034121.4988518
X_6,Core 4 state,-340914580.68827564,340914580.68827564
X_7,Core 5 state,338437241.3995771,338437241.3995771
X_9,Core 7 state,-226549059.73385864,226549059.73385864
X_4,Core 3 state,217746753.27882004,217746753.27882004
