X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-529888349.9862988,338614911.5089896,868503261.4952884
X_1,Core 0 state,-1099877344.869247,1071218589.0893378,2171095933.958585
X_2,Core 1 state,-1450870740.8441124,1168008672.9483862,2618879413.7924986
X_3,Core 2 state,-1805382825.1494648,1301543138.838489,3106925963.987954
X_4,Core 3 state,-3198517526.073703,2234193474.5972657,5432711000.670969
X_5,frequency level of Big Socket,-157243193.6954375,289150846.0373467,446394039.7327842
X_6,Core 4 state,-2791638189.252771,2443219307.768936,5234857497.021708
X_7,Core 5 state,-2829748040.03868,2104833442.1831555,4934581482.221836
X_8,Core 6 state,-2314324393.023002,1764868393.0410156,4079192786.064018
X_9,Core 7 state,-3254190177.620103,2467367427.355704,5721557604.975807


 Ordered by kernel ridge coefficients, highest is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_5,frequency level of Big Socket,-157243193.6954375,289150846.0373467,446394039.7327842
X_0,frequency level of Little Socket,-529888349.9862988,338614911.5089896,868503261.4952884
X_1,Core 0 state,-1099877344.869247,1071218589.0893378,2171095933.958585
X_2,Core 1 state,-1450870740.8441124,1168008672.9483862,2618879413.7924986
X_3,Core 2 state,-1805382825.1494648,1301543138.838489,3106925963.987954
X_8,Core 6 state,-2314324393.023002,1764868393.0410156,4079192786.064018
X_6,Core 4 state,-2791638189.252771,2443219307.768936,5234857497.021708
X_7,Core 5 state,-2829748040.03868,2104833442.1831555,4934581482.221836
X_4,Core 3 state,-3198517526.073703,2234193474.5972657,5432711000.670969
X_9,Core 7 state,-3254190177.620103,2467367427.355704,5721557604.975807


 Ordered by linear regression coefficients, highest is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_9,Core 7 state,-3254190177.620103,2467367427.355704,5721557604.975807
X_6,Core 4 state,-2791638189.252771,2443219307.768936,5234857497.021708
X_4,Core 3 state,-3198517526.073703,2234193474.5972657,5432711000.670969
X_7,Core 5 state,-2829748040.03868,2104833442.1831555,4934581482.221836
X_8,Core 6 state,-2314324393.023002,1764868393.0410156,4079192786.064018
X_3,Core 2 state,-1805382825.1494648,1301543138.838489,3106925963.987954
X_2,Core 1 state,-1450870740.8441124,1168008672.9483862,2618879413.7924986
X_1,Core 0 state,-1099877344.869247,1071218589.0893378,2171095933.958585
X_0,frequency level of Little Socket,-529888349.9862988,338614911.5089896,868503261.4952884
X_5,frequency level of Big Socket,-157243193.6954375,289150846.0373467,446394039.7327842


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_9,Core 7 state,-3254190177.620103,2467367427.355704,5721557604.975807
X_4,Core 3 state,-3198517526.073703,2234193474.5972657,5432711000.670969
X_6,Core 4 state,-2791638189.252771,2443219307.768936,5234857497.021708
X_7,Core 5 state,-2829748040.03868,2104833442.1831555,4934581482.221836
X_8,Core 6 state,-2314324393.023002,1764868393.0410156,4079192786.064018
X_3,Core 2 state,-1805382825.1494648,1301543138.838489,3106925963.987954
X_2,Core 1 state,-1450870740.8441124,1168008672.9483862,2618879413.7924986
X_1,Core 0 state,-1099877344.869247,1071218589.0893378,2171095933.958585
X_0,frequency level of Little Socket,-529888349.9862988,338614911.5089896,868503261.4952884
X_5,frequency level of Big Socket,-157243193.6954375,289150846.0373467,446394039.7327842
