Variable,meaning ,d_X_5 (Variation relative to frequency level of Big Socket),asolute d_X_5
X_0,frequency level of Little Socket,233570688.81829673,233570688.81829673
X_1,Core 0 state,-13989007.283650028,13989007.283650028
X_2,Core 1 state,-93715643.85229504,93715643.85229504
X_3,Core 2 state,194513723.57919046,194513723.57919046
X_4,Core 3 state,-295189903.70194227,295189903.70194227
X_5,frequency level of Big Socket,-625079840.3318375,625079840.3318375
X_6,Core 4 state,457893765.1892468,457893765.1892468
X_7,Core 5 state,-228424387.73947027,228424387.73947027
X_8,Core 6 state,202310890.68209317,202310890.68209317
X_9,Core 7 state,-510372464.3829278,510372464.3829278


 Ordered by value of coefficient, the first has the best positive interaction, with frequency level of Big Socket 
 Variable,meaning ,d_X_5 (Variation relative to frequency level of Big Socket),asolute d_X_5
X_6,Core 4 state,457893765.1892468,457893765.1892468
X_0,frequency level of Little Socket,233570688.81829673,233570688.81829673
X_8,Core 6 state,202310890.68209317,202310890.68209317
X_3,Core 2 state,194513723.57919046,194513723.57919046
X_1,Core 0 state,-13989007.283650028,13989007.283650028
X_2,Core 1 state,-93715643.85229504,93715643.85229504
X_7,Core 5 state,-228424387.73947027,228424387.73947027
X_4,Core 3 state,-295189903.70194227,295189903.70194227
X_9,Core 7 state,-510372464.3829278,510372464.3829278
X_5,frequency level of Big Socket,-625079840.3318375,625079840.3318375


 Ordered by absolute value of coefficients,  the first has the best absolute interaction, with frequency level of Big Socket  
 Variable,meaning ,d_X_5 (Variation relative to frequency level of Big Socket),asolute d_X_5
X_5,frequency level of Big Socket,-625079840.3318375,625079840.3318375
X_9,Core 7 state,-510372464.3829278,510372464.3829278
X_6,Core 4 state,457893765.1892468,457893765.1892468
X_4,Core 3 state,-295189903.70194227,295189903.70194227
X_0,frequency level of Little Socket,233570688.81829673,233570688.81829673
X_7,Core 5 state,-228424387.73947027,228424387.73947027
X_8,Core 6 state,202310890.68209317,202310890.68209317
X_3,Core 2 state,194513723.57919046,194513723.57919046
X_2,Core 1 state,-93715643.85229504,93715643.85229504
X_1,Core 0 state,-13989007.283650028,13989007.283650028
