X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-292753999.7652562,201976182.4201647,494730182.18542093
X_1,Core 0 state,-235420744.78682944,1060944296.0670272,1296365040.8538566
X_2,Core 1 state,-349166162.2549529,468235150.7606225,817401313.0155754
X_3,Core 2 state,-1442183823.090297,1604553505.4900584,3046737328.5803556
X_4,Core 3 state,-408581218.88735193,255306768.86347324,663887987.7508252
X_5,frequency level of Big Socket,-0.0,5.713381305281466e-07,5.713381305281466e-07
X_6,Core 4 state,-3506794385.182414,2961837290.3257966,6468631675.508211
X_7,Core 5 state,-2266195423.7737036,2087745954.4442053,4353941378.217909
X_8,Core 6 state,-2288882810.2056246,2258075397.76685,4546958207.972475
X_9,Core 7 state,-2891630710.2438974,3517869796.0262566,6409500506.270154


 Ordered by kernel ridge coefficients, highest is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_5,frequency level of Big Socket,-0.0,5.713381305281466e-07,5.713381305281466e-07
X_1,Core 0 state,-235420744.78682944,1060944296.0670272,1296365040.8538566
X_0,frequency level of Little Socket,-292753999.7652562,201976182.4201647,494730182.18542093
X_2,Core 1 state,-349166162.2549529,468235150.7606225,817401313.0155754
X_4,Core 3 state,-408581218.88735193,255306768.86347324,663887987.7508252
X_3,Core 2 state,-1442183823.090297,1604553505.4900584,3046737328.5803556
X_7,Core 5 state,-2266195423.7737036,2087745954.4442053,4353941378.217909
X_8,Core 6 state,-2288882810.2056246,2258075397.76685,4546958207.972475
X_9,Core 7 state,-2891630710.2438974,3517869796.0262566,6409500506.270154
X_6,Core 4 state,-3506794385.182414,2961837290.3257966,6468631675.508211


 Ordered by linear regression coefficients, highest is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_9,Core 7 state,-2891630710.2438974,3517869796.0262566,6409500506.270154
X_6,Core 4 state,-3506794385.182414,2961837290.3257966,6468631675.508211
X_8,Core 6 state,-2288882810.2056246,2258075397.76685,4546958207.972475
X_7,Core 5 state,-2266195423.7737036,2087745954.4442053,4353941378.217909
X_3,Core 2 state,-1442183823.090297,1604553505.4900584,3046737328.5803556
X_1,Core 0 state,-235420744.78682944,1060944296.0670272,1296365040.8538566
X_2,Core 1 state,-349166162.2549529,468235150.7606225,817401313.0155754
X_4,Core 3 state,-408581218.88735193,255306768.86347324,663887987.7508252
X_0,frequency level of Little Socket,-292753999.7652562,201976182.4201647,494730182.18542093
X_5,frequency level of Big Socket,-0.0,5.713381305281466e-07,5.713381305281466e-07


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 4 state,-3506794385.182414,2961837290.3257966,6468631675.508211
X_9,Core 7 state,-2891630710.2438974,3517869796.0262566,6409500506.270154
X_8,Core 6 state,-2288882810.2056246,2258075397.76685,4546958207.972475
X_7,Core 5 state,-2266195423.7737036,2087745954.4442053,4353941378.217909
X_3,Core 2 state,-1442183823.090297,1604553505.4900584,3046737328.5803556
X_1,Core 0 state,-235420744.78682944,1060944296.0670272,1296365040.8538566
X_2,Core 1 state,-349166162.2549529,468235150.7606225,817401313.0155754
X_4,Core 3 state,-408581218.88735193,255306768.86347324,663887987.7508252
X_0,frequency level of Little Socket,-292753999.7652562,201976182.4201647,494730182.18542093
X_5,frequency level of Big Socket,-0.0,5.713381305281466e-07,5.713381305281466e-07
